Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
15,Brooklyn Nets*,29.1,44,38,43,39,0.78,0.04,0.82,113.6,112.8,0.8,99,0.246,0.359,0.576,,0.54,12.5,23.9,0.198,,0.521,11.7,75.1,0.201,,Barclays Center,711539,17355
16,Charlotte Hornets,25.5,43,39,42,40,0.44,0.09,0.53,114.1,113.7,0.4,100,0.234,0.418,0.572,,0.544,11.6,23.3,0.173,,0.544,13.1,74.8,0.187,,Spectrum Center,700755,17092
17,San Antonio Spurs,24.5,34,48,41,41,0.12,-0.1,0.02,112.4,112.3,0.1,100,0.22,0.345,0.556,,0.527,11.1,23.7,0.166,,0.532,12.1,75.1,0.176,,AT&T Center,615588,15014
18,Los Angeles Clippers,27.5,42,40,41,41,0.02,0.06,0.09,110.1,110.1,0,98,0.224,0.391,0.564,,0.531,12.5,20.6,0.178,,0.514,12,74.4,0.167,,Crypto.com Arena,694005,16927
19,New York Knicks,26,37,45,41,41,-0.12,0.11,-0.01,110.4,110.5,-0.1,95.9,0.28,0.428,0.55,,0.513,12,25.1,0.208,,0.521,11.7,78.8,0.198,,Madison Square Garden (IV),763484,18622
20,Chicago Bulls*,26.3,46,36,40,42,-0.39,0.02,-0.38,113.2,113.6,-0.4,98.3,0.248,0.332,0.579,,0.541,11.8,20.4,0.201,,0.541,11.9,78.3,0.199,,United Center,856148,20882
21,New Orleans Pelicans*,25.6,36,46,38,44,-0.99,0.15,-0.84,112,113,-1,97.2,0.264,0.365,0.557,,0.517,12.5,26.9,0.208,,0.547,13,78.2,0.196,,Smoothie King Center,635941,15511
22,Los Angeles Lakers,30.2,33,49,33,49,-3.05,-0.03,-3.08,110.3,113.3,-3,100.1,0.259,0.388,0.567,,0.537,12.8,21.1,0.19,,0.54,12.2,75.8,0.192,,Crypto.com Arena,764631,18650
23,Washington Wizards,25.9,35,47,32,50,-3.38,0.15,-3.23,111.1,114.5,-3.4,97,0.252,0.356,0.568,,0.532,12.1,20.9,0.197,,0.529,10.7,76.9,0.202,,Capital One Arena,641499,15646
24,Indiana Pacers,26,25,57,32,50,-3.48,0.22,-3.26,112.6,116.1,-3.5,98,0.239,0.395,0.564,,0.531,12.7,25.5,0.184,,0.552,11.9,76.2,0.204,,Gainbridge Fieldhouse,588743,14360
25,Sacramento Kings,25.8,30,52,28,54,-5.46,0.2,-5.26,109.9,115.3,-5.4,99.8,0.264,0.377,0.561,,0.525,12.5,21.3,0.203,,0.551,11.9,76,0.176,,Golden 1 Center,577583,14087
26,Detroit Pistons,23.6,23,59,22,60,-7.72,0.37,-7.36,106,113.8,-7.8,98.4,0.249,0.391,0.533,,0.494,12.6,23.4,0.194,,0.541,13.1,75.6,0.226,,Little Caesars Arena,663556,16184
27,Orlando Magic,23.3,22,60,21,61,-8,0.33,-7.67,104.5,112.5,-8,99.2,0.223,0.417,0.538,,0.503,13,19.8,0.175,,0.532,11.7,77.2,0.196,,Amway Center,622881,15192
28,Oklahoma City Thunder,22.4,24,58,21,61,-8.1,0.2,-7.9,104.6,112.8,-8.2,98.5,0.223,0.419,0.53,,0.497,12.5,21.8,0.169,,0.533,11.8,76.1,0.169,,Paycom Center,595112,14515
29,Houston Rockets,24.1,20,62,21,61,-8.48,0.22,-8.26,108.4,116.7,-8.3,100.9,0.284,0.448,0.565,,0.534,14.5,21.7,0.202,,0.554,12.3,74.4,0.206,,Toyota Center,638977,15585
30,Portland Trail Blazers,25.6,27,55,20,62,-8.88,0.33,-8.55,107.8,116.9,-9.1,98.3,0.248,0.422,0.55,,0.515,13,22.9,0.188,,0.559,12.7,76.9,0.222,,Moda Center,705608,17210
